raw_affiliation_string,to remove
"Osnabrück University, Institute of Mathematics, Osnabrück, Germany 49076",Hochschule Osnabrück
"Osnabrück University, Osnabrück, Alemania",Hochschule Osnabrück
"Osnabrück University, Osnabrück, Germany",Universität Osnabrück
"Osnabrück University, Postfach 4469, 49079, Osnabrück, Germany",Hochschule Osnabrück
"Osnabrück Üniversitesi, Hukuk Fakültesi, Osnabrück, Almanya",Hochschule Osnabrück
"Osnabrück, Germany ulrike.krause@uni-osnabrueck.de",Universität Osnabrück
Osnabrück/D,Universität Osnabrück
Osnabrücki Egyetem Európai Jogi Intézet,Universität Osnabrück
"Osterstrasse 86b, 26725 Emden, Germany",Hochschule Emden/Leer
"Ostretrics and Gynecology, University Medical Center Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Oststr. 21, 59399, Olfen, Deutschland",Ostfalia Hochschule für angewandte Wissenschaften
Outpatient Rehabilitation Center Braunschweig,Technische Universität Braunschweig
"P. Genkova ( ) Caprivistr. 30A, 49076 Osnabrck, Deutschland",Universität Osnabrück
"PHV Institute, Nephrology Outpatient Clinic/Dialysis Hildesheim, 31135 Hildesheim, Germany",Stiftung Universität Hildesheim
PTB  38116 Braunschweig Germany,Hochschule für Bildende Künste Braunschweig
PTB  38116 Braunschweig Germany,Technische Universität Braunschweig
"PTB, Braunschweig and Berlin, Germany",Hochschule für Bildende Künste Braunschweig
"PTB, Braunschweig and Berlin, Germany",Technische Universität Braunschweig
"Pecanode GmbH, 38640, Goslar, NI, Germany",Technische Universität Clausthal
"Pecanode GmbH, Peterstraße 30, 38640 Goslar, Germany",Technische Universität Clausthal
"Ped Mind Institute, Department of Pediatrics, Hindenburgring 4, D-48599 Gronau, Germany",Carl von Ossietzky Universität Oldenburg
"Pediatric Hematology and Oncology, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Pediatric Metabolic Medicine, Clinic for Pediatric Kidney, Liver-and Metabolic Diseases, Hannover Medical School, Hannover, Germany;",Medizinische Hochschule Hannover (MHH)
"Pediatric oncology and haemostaseology, Medical Universtity Hannover",Medizinische Hochschule Hannover (MHH)
"Perioperative Inflammation and Infection, Department of Human Medicine, Faculty of Medicine and Health Sciences, Carl von Ossietzky University, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Pflegeschulzentrum Goslar , Goslar , Germany",Technische Universität Clausthal
"Pfunds Molkerei. Der schnste Milchladen der Welt , Husum 2020 , 120 Seiten mit zahl- reichen Abbildungen , 9 , 95 Euro ,",Stiftung Universität Hildesheim
"Pfunds Molkerei. Der schnste Milchladen der Welt, Husum 2020, 120 Seiten mit zahl-reichen Abbildungen, 9,95 Euro,",Stiftung Universität Hildesheim
PhD Hochschule Osnabrck Caprivistr. 30 49076 Osnabrck Germany,Hochschule Osnabrück
PhD Hochschule Osnabrck Caprivistr. 30 49076 Osnabrck Germany,Universität Osnabrück
"PhD Programme ""Epidemiology"" Braunschweig-Hannover, Braunschweig, Deutschland",Technische Universität Braunschweig
"PhD Programme ""Epidemiology,"" Braunschweig-Hannover, Germany (B",Technische Universität Braunschweig
"PhD Programme Epidemiology Braunschweig-Hannover, Braunschweig, Germany",Technische Universität Braunschweig
"PhD Programme Epidemiology, Braunschweig-Hannover, Braunschweig, Germany",Technische Universität Braunschweig
"Photocatalysis and Nanotechnology Unit, Institute of Technical Chemistry, Leibniz Hannover University, Callinstr. 3, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Photocatalysis and Nanotechnology Unit, Institute of Technical Chemistry, Leibniz Hannover University, Callinstr. 3, 30167, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Photolase, Barsbtteler Strasse 6, 22043 Hamburg",Medizinische Hochschule Hannover (MHH)
Physics Department University of Osnabrück  Osnabrück 49076 Germany,Universität Osnabrück
"Physikalische Chemie, University of Applied Sciences, Constantiaplatz 4, D-26723 Emden, Germany",Hochschule Emden/Leer
"Pilonidal Research Group , Vechta , Germany",Universität Vechta
"Pilonidal Research Group @ Vechtaer Research Institute VIFF, Marienstraße 6–8, 49377, Vechta, Germany",Universität Vechta
"Pilonidal Research Group, Vechtaer Institut für Forschungsförderung (VIFF), Marienstr. 6–8, Vechta, Deutschland",Universität Vechta
"Pilonidal Research Group, Vechtaer Research Institute VIFF, Marienstr. 6–8, 49377, Vechta, Germany",Universität Vechta
"Pilonidal Research Group, Vechtaer Research Institute VIFF, Vechta, Germany",Universität Vechta
"Pilonidal Research Group, Vechtaer Research Institute VIFF; Marienstr. Vechta, Germany",Universität Vechta
"Pilonidal Sinus Research Group, Vechtaer Institut für Forschungsförderung, Vechta, GERMANY",Universität Vechta
"Pius Hospital; Klinik für Innere Medizin, Pneumologie",Carl von Ossietzky Universität Oldenburg
Plant Breeding University of Applied Sciences  Osnabreuck Germany,Hochschule Osnabrück
Plant Breeding University of Applied Sciences  Osnabreuck Germany,Universität Osnabrück
"Plant Ecology and Ecosystems Research, Albrecht von Haller Institute for Plant Sciences, University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Plant Ecology, Albrecht von Haller Institute for Plant Sciences, University of Goettingen, Göttingen 37073, Germany",Georg-August-Universität Göttingen
"Plant Virology, Department of Phytomedicine, Institute of Horticultural Production Systems, Leibniz University, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Plastic Surgery, Klinikum Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
Pneumologie Hannover Hochschule  Hannover Germany,Hochschule Hannover
"Pneumologie, Hannover Hochschule, Hannover, Germany",Hochschule Hannover
Practice Dr. med. Christiane Handrick  Berlin Germany,"Hochschule für Musik, Theater und Medien Hannover"
"Practice Network HilMed Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Practice for Internal Medicine, Oldenburg",Carl von Ossietzky Universität Oldenburg
"Practice for Internal Medicine, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
Practice for Oncology and Hematology  Goslar Germany,Technische Universität Clausthal
Practice for Oncology and Hematology  Hildesheim Germany,Stiftung Universität Hildesheim
"Practice for Oncology and Hematology, Goslar, Germany",Technische Universität Clausthal
"Practice for Oncology and Hematology, Hildesheim, Germany",Stiftung Universität Hildesheim
"Practice of Gynecology and Oncology, Hildesheim, Germany",Stiftung Universität Hildesheim
"Practice of Gynecology and Oncology, Hildesheim, NDS, Germany",Stiftung Universität Hildesheim
"Practice of Laboratory Medicine Department of Dermatology, Environmental Medicine, Health Theory University Osnabrück Osnabrück Germany",Hochschule Osnabrück
"Practice of Laboratory Medicine and University Osnabrück, Department of Dermatology, Environmental Medicine and Health Theory, Osnabrück, Germany",Universität Osnabrück
"Practice of Pediatrics and Pediatric Diabetes, Hildesheim, Germany",Stiftung Universität Hildesheim
"Praxis für Rheumatologie und Osteologie, Hildesheim, Deutschland",Stiftung Universität Hildesheim
"Praxis für Rheumatologie und Osteologie, Hildesheim, Germany",Stiftung Universität Hildesheim
"Present Address: Universitätsmedizin Göttingen, Institut für Allgemeinmedizin, Humboldtallee 38, 37075, Göttingen, Germany. tim.schmachtenberg@googlemail.com",Universitätsmedizin Göttingen
"Present address: AMEOS Hospital Osnabrück, Knollstraße 31, Osnabrück, Germany",Universität Osnabrück
Private Practice Hildesheim Germany,Stiftung Universität Hildesheim
"Private Practice for Oral and Maxillofacial Surgery, Plastic Facial Surgery and Implantology, Theaterstr. 61, 52062, Aachen, Germany. zeller.alexander@mh-hannover.de",Medizinische Hochschule Hannover (MHH)
"Private Practice of Radiation Oncology, Hannover, Germany. Stefan.janssen@UKSH.de",Hochschule Hannover
"Private Practice of Radiation Oncology, Hannover, Germany. stefan.janssen@UKSH.de",Hochschule Hannover
"Private Practice of Radiation Oncology, Hannover, Germany. stefan.janssen@uksh.de",Hochschule Hannover
"Private Practice, Hildesheim, Germany",Stiftung Universität Hildesheim
"Private University of Applied Sciences, Medical Orthobionics, Göttingen, Germany",Universitätsmedizin Göttingen
"Private practice Hildesheim, Germany",Stiftung Universität Hildesheim
"Privatpraxis für Upright Kernspintomographie Hannover, Expo-Plaza 10, 30539, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Prof. Dr. Thomas Lindenberger, Hannah-Arendt-Institut für Totalitarismusforschung e. V. an der Technischen Universität Dresden",Gottfried Wilhelm Leibniz Universität Hannover
"Prof. Dr., Leiterin des Kompetenzzentrums Versicherungsmedizin der Suva in Luzern; Dozentin für Versicherungsmedizin, Universität Basel; Leiterin der Forschungsgruppe Evidence-based Insurance Medicine am Departement Klinische Forschung von Universität und Universitätsspital Basel",Georg-August-Universität Göttingen
"Professeur intérimaire d'économie politique comparée à l'université de Brême et chercheur post-doctoral à l'université d'Oldenburg, en Allemagne. Ses recherches portent sur les systèmes électoraux, la politique de parti et les méthodes de recherche en sciences sociales.
Université d'Oldenburg, Allemagne",Carl von Ossietzky Universität Oldenburg
"Professor for Psychology and Neurosciences, Bachstrae 13 72415 Grosselfingen Germany,",Georg-August-Universität Göttingen
"Professor of Human-Computer Interaction , University of Applied Sciences Emden/Leer , Germany",Hochschule Emden/Leer
"Professor of Structural Engineering, Hamburg Univ. of Technology, Structural Analysis Institute, Hamburg 21073, Germany",Medizinische Hochschule Hannover (MHH)
"Program Assistant, Lori's Hands",Gottfried Wilhelm Leibniz Universität Hannover
"Psychotherapeutical Office Pilgramm, Hannover. lopez.olatz@gmail.com",Gottfried Wilhelm Leibniz Universität Hannover
"Pädiatrische Neuroradiologie, Medizinische Hochschule Hannover, Hannover",Medizinische Hochschule Hannover (MHH)
"Pädiatrische Pneumologie, Allergologie und Neonatologie, Kinderklinik der Medizinischen
               Hochschule Hannover",Medizinische Hochschule Hannover (MHH)
Q.ANT GmbH  Handwerkstrasse 29 70565 Stuttgart Germany,Gottfried Wilhelm Leibniz Universität Hannover
"REBIRTH-Research Center for Translational Regenerative Medicine, Biomedical Research in Endstage and Obstructive Lung Disease Hannover (BREATH), German Center for Lung Research (DZL), Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"RTG 2636: Form-meaning mismatches, Georg-August Universität, Göttingen",Georg-August-Universität Göttingen
Radiologie Vechta Vechta Germany,Universität Vechta
"Radiologie Vechta, Marienstraße 6-8, 49377 Vechta, Germany",Universität Vechta
"Radiologie Vechta, Vechta, Germany",Universität Vechta
"Refratechnik Holding GmbH, Rudolf-Winkel-Straße 1, Göttingen, 37079, Germany",Georg-August-Universität Göttingen
"Reginal Pharmacy and SERU PhD Puiblic Health programme, Braunschweig FRG, DE",Technische Universität Braunschweig
Reha-Zentrum Oldenburg,Carl von Ossietzky Universität Oldenburg
"Rehabilitation Center Oberharz, Clausthal-Zellerfeld ,",Technische Universität Clausthal
"Rehabilitation Center Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Research Associate, Dept. of Architecture, Civil Engineering and Environmental Sciences, TU Braunschweig, Beethovenstr. 51a, 38106 Braunschweig, Germany",Hochschule für Bildende Künste Braunschweig
"Research Center Borstel, Leibniz Lung Center, Division of Biophysics, Center for Systems Structural Biology (CSSB), Hamburg, Parkallee 10, D-23845, Borstel, Germany",Medizinische Hochschule Hannover (MHH)
"Research Center Environmental Systems Research, Osnabrück University, Osnabrück, Germany",Hochschule Osnabrück
"Research Center Neurosensory Science, Carl von Ossietzky Universität Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
Research Center for Emerging Infections and Zoonoses (RIZ) University of Veterinary Medicine Hannover  Hannover Germany,Gottfried Wilhelm Leibniz Universität Hannover
"Research Center for Emerging Infections and Zoonoses (RIZ), Stiftung
                    Tierärztliche Hochschule",Stiftung Tierärztliche Hochschule Hannover
"Research Center for Emerging Infections and Zoonoses (RIZ), Stiftung Tierärztliche Hochschule",Stiftung Tierärztliche Hochschule Hannover
"Research Center for Emerging Infections and Zoonoses (RIZ), University of Veterinary Medicine Hannover, Bünteweg 17, 30559, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Research Center for Emerging Infections and Zoonoses, University of Veterinary Medicine Hannover, Hanover, Germany; Department of Biochemistry, University of Veterinary Medicine Hannover, Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Research Centre for Emerging Infections and Zoonoses, University of Veterinary Medicine Hannover, Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover
"Research Centre for Neurosensory Science, Carl von Ossietzky University Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Research Centre of Energy Storage Technologies, Clausthal University of Technology, 38640 Goslar, Germany",Technische Universität Clausthal
"Research Group Biomarkers for Infectious Diseases, TWINCORE, Centre for Experimental and Clinical Infection Research, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Research Institute Social Cohesion (RISC), Sociological Research Institute Göttingen, Friedländer Weg 31, 37085, Göttingen, Germany",Georg-August-Universität Göttingen
"Research Institute Social Cohesion (RISC), Sociological Research Institute Göttingen, Friedländer Weg 31, 37085, Göttingen, Germany",Georg-August-Universität Göttingen
Research Institute for Information Technology Kyushu University,Carl von Ossietzky Universität Oldenburg
"Research Institute for Information Technology, Kyushu              University",Carl von Ossietzky Universität Oldenburg
"Research Institute for Information Technology, Kyushu University",Carl von Ossietzky Universität Oldenburg
Research and Development GEH Wasserchemie GmbH &amp; Co. KG  Osnabrueck Germany,Universität Osnabrück
"Rheumatologische Facharztpraxis, Rheumatologie, Hildesheim, Germany",Stiftung Universität Hildesheim
"Rheumatology, Practice Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Riemann Center for Geometry and Physics, Institute for Theoretical Physics, Leibniz Universität Hannover",Gottfried Wilhelm Leibniz Universität Hannover
"SP Gynäkologische Onkologie, PVA Mammographiescreening Niedersachsen Süd, Bahnhofsplatz 5, 31134, Hildesheim, Deutschland",Stiftung Universität Hildesheim
"Sahalar, Göç, Kangalaslar, Namlar, Baturlar",Technische Universität Clausthal
Saskatchewan Structural Sciences Centre,Medizinische Hochschule Hannover (MHH)
"Scarlett Wang, New York University",Georg-August-Universität Göttingen
"School of Biology/Chemistry, Botany, Osnabrück University, Osnabrück, Germany",Hochschule Osnabrück
"School of Mathematics and Science Chemistry Department Carl von Ossietzky University of Oldenburg, 26111 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"School of Mechanical Engineering, Braunschweig university of technology, Braunschweig, 38106, Germany",Hochschule für Bildende Künste Braunschweig
"Schuhstraße 40, 31134, Hildesheim, Germany",Stiftung Universität Hildesheim
"Sektion Obere Extremität, Fuß- und Rheumachirurgie,Klinik für Unfallchirurgie, Medizinische Hochschule Hannover",Medizinische Hochschule Hannover (MHH)
Sero PumpSystems GmbH  Meckesheim,Stiftung Universität Hildesheim
"Service de dermatologie, vénéréologie et allergologie, université Georg August, Göttingen, Allemagne",Universitätsmedizin Göttingen
"Simulation Science Center Clausthal-Göttingen, Arnold-Sommerfeld-Str. 6, 38678, Clausthal-Zellerfeld, Germany",Technische Universität Clausthal
"Simulations- und Notfallakademie, Helios Klinikum Hildesheim, Hildesheim, Deutschland",Stiftung Universität Hildesheim
"Skin Cancer Center Hannover, Department of Dermatology, Venereology and Allergology, Hannover, Germany;",Medizinische Hochschule Hannover (MHH)
"Small Animal Clinic, Tierklinik Posthausen ,",Stiftung Tierärztliche Hochschule Hannover
"Small Animal Clinic, Tierklinik Posthausen, Germany",Stiftung Tierärztliche Hochschule Hannover
"Small Animal Hospital Hofheim, IVC Evidensia , Munich,",Stiftung Tierärztliche Hochschule Hannover
"Social Work and Health, University of Health Sciences Emden/Leer , Emden,",Hochschule Emden/Leer
"Social Work and Health, University of Health Sciences Emden/Leer, Emden, Germany",Hochschule Emden/Leer
"Soziologen Marco d'Eramo, Die Welt im Selfie. Eine Besichtigung des touristischen Zeitalters, Berlin 2018, S",Georg-August-Universität Göttingen
"Specialist Practice for Internal Medicine, Oldenburg, Oldenburg Germany",Carl von Ossietzky Universität Oldenburg
"Sports and Movement Group, Department of Sports Science, School of Educational and Cultural Studies, Osnabrück University, Jahnstraße 75, 49080 Osnabrück, Germany",Hochschule Osnabrück
St. Marienhospital Vechta  Vechta Germany,Universität Vechta
"St. Marienhospital Vechta, Anesthesia and Intensiv Care, University of Münster, Marienstr. 4-6, 49377 Vechta, Germany",Universität Vechta
"St. Marienhospital Vechta, Internal Medicine and Cardiology, Marienstr. 4-6, 49377 Vechta, Germany",Universität Vechta
"St. Marienhospital Vechta, Vechta, Deutschland",Universität Vechta
"St. Marienhospital Vechta, Vechta, Germany",Universität Vechta
"St. Marienhospital Vechta, Vechta, Deutschland",Universität Vechta
"Staatliches Gewerbeaufsichtsamt ­Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Stefan Schipolowski, Institute for Educational Quality Improvement, Berlin, Germany",Carl von Ossietzky Universität Oldenburg
"Stefanie Berg / Institute of Corporate Strategy, Theaterstraße 7, 37073 Göttingen, Germany",Georg-August-Universität Göttingen
"Stiftung Tierärztliche Hochschule Hannover, Institut für Tierernährung",Stiftung Tierärztliche Hochschule Hannover
"Stiftungsuniversität Hildesheim, 31141 Hildesheim, Germany",Stiftung Universität Hildesheim
"Strategion GmbH, Albert-Einstein-Straße 1, 49076, Osnabrück, Deutschland",Universität Osnabrück
"Structural Biology Section, Department of Biology/Chemistry, Osnabrück University, 49076 Osnabrück, Germany",Hochschule Osnabrück
"Structural Heart Division, University Heart Center, Hamburg, Hamburg, Germany",Medizinische Hochschule Hannover (MHH)
"Student , Technosphere Universitt Braunschweig Esskultur vor , whrend und nach der",Technische Universität Braunschweig
"Städtisches Klinikum Wolfenbüttel, Klinik für orthopädische Chirurgie, Sporttraumatologie und Unfallchirurgie, Wolfenbüttel, Deutschland",Ostfalia Hochschule für angewandte Wissenschaften
"Städtisches Klinikum Wolfenbüttel, Wolfenbüttel, Deutschland",Ostfalia Hochschule für angewandte Wissenschaften
"Surgery, St. Marienhospital Vechta, Vechta, DEU",Universität Vechta
"Sustainable Materials and Chemistry, Department Wood Technology and Wood-based Composites, University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
Sveučilište u Oldenburgu,Carl von Ossietzky Universität Oldenburg
"TS, DLR - Institut für Verkehrssystemtechnik, Lilienthalplatz 7, 30108, Braunschweig, Deutschland",Technische Universität Braunschweig
"TTU-IICH Hannover-Braunschweig Site, German Center for Infectious Diseases (DZIF), Braunschweig, Germany",Technische Universität Braunschweig
"TU Braunschweig, Institut für Halbleitertechnik, Hans-Sommer-Str. 66, 38106 Braunschweig, Germany",Technische Universität Braunschweig
"TU Braunschweig, LENA Laboratory for Emerging Nanometrology, Langer Kamp 6 a/b, 38106 Braunschweig, Germany",Technische Universität Braunschweig
TU Brauschweig Institut für Stahlbau,Technische Universität Braunschweig
"TU Clausthal, Germany",Technische Universität Clausthal
TU Braunschweig Entrepreneurship Hub  Universitätsplatz 2 38106 Braunschweig Deutschland,Technische Universität Braunschweig
"TWINCORE, Centre for Experimental and Clinical Infection Research, a joint venture between the Hannover Medical School and the Helmholtz Centre for Infection Research, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Technical University at Braunschweig, Mendelssohnstrasse 3, D-38106 Braunschweig, Germany",Technische Universität Braunschweig
"Technical University of Braunschweig, Braunschweig, Germany",Technische Universität Braunschweig
"Technical University of Braunschweig, Germany",Technische Universität Braunschweig
Technische U. Braunschweig,Technische Universität Braunschweig
Technische Universitat Braunschweig,Technische Universität Braunschweig
Technische Universität Braunschweig,Technische Universität Braunschweig
"Technische Universität Braun-schweig, Germany",Technische Universität Braunschweig
Technische Universität Braunschweig,Technische Universität Braunschweig
"Technische Universität Braunschweig, Institut für Biochemie, Biotechnologie und Bioinformatik, Abteilung Biotechnologie, Spielmannstraße 7, 38106 Braunschweig, Germany",Technische Universität Braunschweig
"Technische Universität Braunschweig, Institut für Mathematische Physik, Mendelssohnstraße 3, 38106 Braunschweig, Germany",Technische Universität Braunschweig
"Technische Universität Braunschweig, Institute for Particle Technology, Volkmaroder Straße 4, Braunschweig 38104, Germany",Technische Universität Braunschweig
"Technische Universität Braunschweig, Institute of Machine Tools and Production Technology, Langer Kamp 19b, Braunschweig 38106, Germany",Technische Universität Braunschweig
"Technische Universität Braunschweig, Institute of Physical and Theoretical Chemistry 14 , Gaußstr. 17, 38106 Braunschweig, Germany",Technische Universität Braunschweig
"Technische Universität Braunschweig, Institute of Steel Structures, Beethovenstraße 51, 38106 Braunschweig, Germany",Technische Universität Braunschweig
"Technische Universität Clausthal, Institut für Theoretische Physik 2 , Leibnizstraße 10, 38678 Clausthal-Zellerfeld, Germany",Technische Universität Clausthal
"Technsiche Universität Braunschweig, Institut für Thermodynamik",Technische Universität Braunschweig
"Technsiche Universität Braunschweig, Institute for Engineering Design",Technische Universität Braunschweig
"The Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany (T Krech, R Krech)",Universität Osnabrück
The International Center for Advanced Studies of Energy Conversion (ICASEC) University of Göttingen  Göttingen 37077 Germany,Georg-August-Universität Göttingen
The Wolfson Centre for Applied Structural Biology,Medizinische Hochschule Hannover (MHH)
Theoretische Chemie Universität Hannover  Callinstr. 3 A 30167 Hannover Germany,Gottfried Wilhelm Leibniz Universität Hannover
"Theoretische Chemie, Universit&#x00E4;t Hannover, Hannover, Germany",Hochschule Hannover
"Theoretische Chemie, Universität Hannover  Hannover Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Therapiezentrum, Evangelisches Krankenhaus, Medizinischer Campus Universität Oldenburg, Oldenburg, Deutschland",Carl von Ossietzky Universität Oldenburg
"Thnen Institute of Farm Economics, Braunschweig",Technische Universität Braunschweig
"Thnen-Institut fr Marktanalyse , Braunschweig",Technische Universität Braunschweig
Thomas Thieme ist Pfarrer der evangelischen Kirchengemeinde Caputh                      (Brandenburg),Carl von Ossietzky Universität Oldenburg
"Thuenen Institute, Institute of Farm Economics, Institute of Organic Farming, DE, 38116 Braunschweig, France",Technische Universität Braunschweig
Thünen Institut für Biodiversität Braunschweig Germany,Technische Universität Braunschweig
"Tiermedizinische Hochschule Hannover, Hannover, Deutschland",Medizinische Hochschule Hannover (MHH)
"Timothy D. Bryson https://orcid.org/0000-0003-2727-0652 Center for Individualized and Genomic Medicine Research (CIGMA) (H.G., J. Luzum, T.D.B., K.W., D.E.L.), Henry Ford Hospital",Medizinische Hochschule Hannover (MHH)
"Translational Neuroproteomics Group, Department of Psychiatry and Psychotherapy, University Medical Center Göttingen, Georg-August-University",Universitätsmedizin Göttingen
"Trauma Department, Hannover Medical School (MHH), Hannover, Germany",Medizinische Hochschule Hannover (MHH)
Tropical Silviculture and Forest Ecology University of Göttingen  Göttingen Germany,Georg-August-Universität Göttingen
"Tropical Silviculture and Forest Ecology, University of Göttingen, Göttingen 37077, Germany",Georg-August-Universität Göttingen
"Tumor Immunology and Gene Therapy Center, Third Affiliated Hospital of Naval Medical University, Shanghai, 200438, China. hanzhipeng0311@126.com",Medizinische Hochschule Hannover (MHH)
"UOL, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Unfallchirurgische Klinik, Sektion Obere Extremität, Fuß- und Rheumachirurgie, Medizinische Hochschule Hannover",Medizinische Hochschule Hannover (MHH)
Unfallchirurgischen Klinik der Medizinischen Hochschule Hannover ist Herr Prof,Medizinische Hochschule Hannover (MHH)
"Uniklinik Innere Medizin-Onkologie, Oldenburg/DE",Carl von Ossietzky Universität Oldenburg
"Unit for Reproductive Medicine - Clinic for Horses, University of Veterinary Medicine Hannover, Hannover, Germany; Biostabilization Laboratory - Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Unit for Reproductive Medicine - Clinic for Horses, University of Veterinary Medicine Hannover, Hannover, Germany; Biostabilization Laboratory - Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, Hannover, Germany. Electronic address: harriette.oldenhof@tiho-hannover.de",Medizinische Hochschule Hannover (MHH)
"Unit for Reproductive Medicine - Clinic for Horses, University of Veterinary Medicine Hannover, Hannover, Germany; Biostabilization Laboratory - Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, University of Veterinary Medicine Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Unit of Clinical Psychology and Psychotherapy in Childhood and Adolescence, Department of Psychology, University of Osnabrück, Osnabrück, Germany",Hochschule Osnabrück
"Univ. HNO-Klinik, Evang. Krankenhaus Oldenburg Oldenburg",Carl von Ossietzky Universität Oldenburg
"Univ. of Oldenbutgh, Oldenburgh, Germany",Carl von Ossietzky Universität Oldenburg
"Univ.-HNO-Klinik, Evang. Krankenhaus, Oldenburg",Carl von Ossietzky Universität Oldenburg
"Universidad Georg-August (Gotinga, Alemania)",Georg-August-Universität Göttingen
"Universidad Osnabrück, Osnabrück, Alemania",Hochschule Osnabrück
"Universidad Osnabrück, Osnabrück, Alemania",Universität Osnabrück
"Universidad de Georg-August de Gotinga, Alemania",Georg-August-Universität Göttingen
"Universidade Georg-August, Göttingen",Georg-August-Universität Göttingen
Universidade Técnica de Braunschweig,Technische Universität Braunschweig
"Universidade Técnica de Braunschweig
Instituto de ciências de esporte e da pedagogia de movimento",Technische Universität Braunschweig
Universidade Técnica de Braunschweig - Alemanha,Technische Universität Braunschweig
Universidade Técnica de Braunschweig – TU,Technische Universität Braunschweig
Universidade Técnica de Braunschweig/ Alemanha,Technische Universität Braunschweig
"Universitat Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
Universitat der Leuphana,Leuphana Universität Lüneburg
"Universitatea Carl von Ossietzky, Germania /",Carl von Ossietzky Universität Oldenburg
"Universittsklinik fr Augenheilkunde, Medizinische Hochschule Hannover, Hannover, Deutschland",Medizinische Hochschule Hannover (MHH)
"University Children's Hospital Oldenburg, Department of Neuropediatrics, Oldenburg",Carl von Ossietzky Universität Oldenburg
"University Children's Hospital, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"University Children’s Hospital , Oldenburg , Germany",Carl von Ossietzky Universität Oldenburg
"University Clinic Oldenburg, Department of Oncology and Hematology, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"University Clinic for Internal Medicine, Cardiology, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"University Clinic for Internal Medicine, Oncology und Hematology, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"University Clinic for Visceral Surgery, Pius Hospital Oldenburg, Georgstraße 12, 26121, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"University Clinic of Dermatolgy and Allergy, Oldenburg Clinic, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"University Clinic of Internal Medicine - Gastroenterology, University Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
University College London and University of Göttingen,Georg-August-Universität Göttingen
"University Department for Anesthesia, Intensive and Emergency Medicine and Pain Management, Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"University Göttingen, Cluster of Excellence Multiscale Bioimaging Molecular Machines, 37077, Göttingen, Germany. cigr@nmr.mpibpc.mpg.de",Universitätsmedizin Göttingen
"University Hospital Oldenburg Clinic for Cardiac Surgery, , Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
University Hospital Oldenburg at the Karl-Jaspers Clinic,Carl von Ossietzky Universität Oldenburg
"University Hospital Oldenburg, Clinic for Nephrology and Hypertension, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"University Hospital Oldenburg, Department of General- and Visceral Surgery, Rahel-Straus-Str. 10, 26133, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"University Hospital for Dermatology and Allergology, Clinic Oldenburg, Oldenburg",Carl von Ossietzky Universität Oldenburg
